ID,Item,Product Information,Current Stock,Selling Price,Expiry Date
GH-000017,BEAUTY FORMULA FEMININE WASH (GENTLE) 250ML,"Beauty Formulas an effective facial scrub formulated with Activated Charcoal. The micro ground Apricot seeds work to exfoliate the skin, whilst the magnet-like power of Charcoal absorbs impurities. Designed to deeply cleanse, leaving you feeling fresher and healthier.",3,GHC16.00,
GH-000019,NEUTROGENA (VISIBLY CLEAR) WASH 200ML,Neutrogena® Oil-Free Acne Wash Facial Cleanser is an alcohol free cleanser that provides deep cleansing without over-drying your skin. This face wash penetrates deep to clean pores to help prevent pimples by removing excess oil and surface buildup.,1,GHC59.00,
GH-000020,NEUTROGENA (VISIBLY CLEAR) FACE TONER-200ML,"Add our gentle toner to your skin care routine for clean, healthy looking skin. Our specially formulated, oil-free Alcohol-Free Face Toner refreshes skin without stripping its own natural moisturizers, so you can get a clean, refreshing toning experience without the harsh drying effects of alcohol. Plus, special mild purifiers gently remove impurities and reconditions skin. Your skin will feel fresh and clean, without tightness, dryness or stinging. .",1,GHC59.00,
GH-000023,PALMER'S SKIN SUCCESS (ANTI-DARK SPOT) TONER-250ML,"Gently removes impurities
Brightens complexion
Leaves skin clean, refreshed and luminous
Free of sulfates, parabens, phthalates",1,GHC55.00,
GH-000024,BODYCOLOGY (SCARLET KISS) SPLASH 237ML,"An irresistible and attractive mysterious accents makes this perfume a must have,Features a refreshing & long lasting fragrance,Long Lasting Body mist for women.",1,GHC30.00,
GH-000028,BODYCOLOGY (TOASTED SUGAR) SPLASH 237ML,"The warm blend of vanilla, brown sugar and sensual amber creates a cozy, comforting scent Conditioning and hydrating honey and aloe vera.",1,GHC30.00,
GH-000039,VASELINE (ALOE VERA) OINTMENT 100ML,"Petroleum jelly (also called petrolatum) is a mixture of mineral oils and waxes, which form a semisolid jelly-like substance. ... Petroleum jelly's benefits come from its main ingredient petroleum, which helps seal your skin with a water-protective barrier. This helps your skin heal and retain moisture.",2,GHC11.00,11-2022
GH-000030,VASELINE LOTION (HEALTHY EVEN TONE) 400ML,"Vaseline®Intensive Care™Even Tone Body Lotion leaves skin feeling and looking moisturised
Relieves dry skin and protects against sun damage
Light, fast absorbing moisturising lotion with a non-greasy feel
Vaseline®'s hydrating body lotion calms and soothes dry skin leaving your skin feeling moisturised",1,,05-2022
GH-000031,EVERSHEEN LOTION 500ML,Lotion helps relieve streched skin during and after pregnancy. Helps prevent stretch marks. Soothes and softens dry irritated chapped or sun-burned skin.,2,,
GH-000032,EVERSHEEN LOTION 250ML,Lotion helps relieve streched skin during and after pregnancy. Helps prevent stretch marks. Soothes and softens dry irritated chapped or sun-burned skin.,3,,
GH-000033,TANDRINA LOTION 500ML,Add more shine to skin. Multi-active body lotion. Soothes and Softens skin. Makes skin looks fresh and beautiful,2,GHC14.00,12-2023
GH-000034,TANDRINA CREAM 250ML,Add more shine to skin. Multi-active body lotion. Soothes and Softens skin. Makes skin looks fresh and beautiful,1,,01-2023
GH-000035,CHOCHO CREAM TUBE 32g,"Essential for facial spots, razor bumps, eczema, boils and foot rot",5,GHC7.00,01-2023
GH-000038,MERCY OINTMENT 320G,"Mercy ointment is a very good skin and hair product from Ghana. It protects and enhances natural skin beauty and also effective for skin rashes, ringworm, eczema, skin blemishes and liver spots. It is good for itchy scalp and bad dandruffs.",2,GHC7.00,09-2023
GH-000039,VASELINE (ORIGINAL) OINTMENT 100ML,"Petroleum jelly (also called petrolatum) is a mixture of mineral oils and waxes, which form a semisolid jelly-like substance. ... Petroleum jelly's benefits come from its main ingredient petroleum, which helps seal your skin with a water-protective barrier. This helps your skin heal and retain moisture.",2,GHC11.00,10-2022
GH-000040,VASELINE (ORIGINAL) OINTMENT 250ML,"Petroleum jelly (also called petrolatum) is a mixture of mineral oils and waxes, which form a semisolid jelly-like substance. ... Petroleum jelly's benefits come from its main ingredient petroleum, which helps seal your skin with a water-protective barrier. This helps your skin heal and retain moisture.",3,GHC19.00,11-2022
GH-000042,VALDERMA SOAP 100g,"Valderma® Antibacterial Soap contains an effective antibacterial agent that helps to keep your skin clear, clean and free from spots. Contains glycerin for soft, healthy-looking skin. Use as part of your daily skin care regime.",1,GHC20.00,05-2022
GH-000043,TURA SOAP 65G,"Gently cleanses and tones to help protect against body odour, skin infections, spots & pimples and keep skin feeling fresh, healthy and beautiful. Ingredients Soap Base, 0.28% Triclosan, Vitamin E, Allantoin, Glycerine ETDA, Sodium Silicate, Perfume, Colour, Minimum Total Fatty Matter 70%. ..",1,GHC8.00,11-2022
GH-000044,ACNE CLEAR SOAP 100G,"relate to pimples and acne blemish. It help to restore the skin to a clearer and softer texture without any irritations. The unique anti-acne cleanser is formulated with a combination of tea tree acne-fighting ingredient to help give you clear, looking skin.",3,GHC8.00,
GH-000045,REXONA (INVISIBLE AQUA) DEO SPRAY 200ML,"All-Day Protection. Contains extracts of natural cotton, an ingredient known for its dryness, freshness and softness. Fresh Floral Scent",1,GHC15.00,
GH-000046,SURE (ANTIBACTERIAL) DEO SPRAY 250ML,"A delightful blend of mandarin buds, airy cotton, and transparent musk notes create this iconic scent, that you know and trust. SURE Regular Scent Aerosol gives you the proven defense against odor and wetness that won't stop when you want to keep going.",1,GHC28.00,
GH-000047,ASANTEE SOAP 125G,"Asantee papaya kojic & honey plus herbal soap whitening bright skin (made in thailand) asantee herbal thailand lightening soap deterring acne, wrinkles and aging. The papaya kojic extract is very powerful for skin lightening and removing dark spots. However, most people don T realize that it is not just a skin lightening soap or a dark spot eraser. There are many other skin conditions or problems that papaya kojic can",18,GHC11.00,07-2025
GH-000052,QUEEN ELIZABETH (COCOA BUTTER) LOTION 800ML,"A blend of natural cocoa butter and pure lanolin in anon greasy moisturizing base. Helps protect skin from the sun; excellent for skin overexposed to sun or wind. Helps restore and control essential moisture balance, and prevent dry skin wrinkles, lines and ""crow's feet"". Soothes and softens  dry irritated  chapped or sun-burned skin. Also helps relieve stretched skin during and after pregnancy.",2,GHC19.00,11-2023
GH-000053,BEAUTY SECRETS (BLAK SOAP + SHEA BUTTER) 350G,"Eliminates Fungal Skin Infections,Soothes Razor Bumps,Helps Fade Acne Scars,Unclogs Blocked Pores,Evens Out Dark Spots,Minimizes Fine Lines & Wrinkles,Reduces Oily Skin,Calms Psoriasis,Fights Facial & Body Acne,Reduces Blemishes & Dark Spots,Soothes & Heals Eczema,Good for Sensitive Skin Types,Cleanses and nourishes hair and skin.",2,GHC18.00,7-2022
GH-000055,BEAUTY SECRETS (BLACK SOAP + TURMERIC +TEA TREE + SHEA BUTTER) 350G,"Turmeric enhances the anti-inflammatory, acne fighting, healing properties of black soap, and promotes brighter, glowing skin. This much-loved bar of soap is recommended for the improvement of dark circles and scars, acne, psoriasis, and to promote radiant skin.",1,GHC24.00,1-2024
GH-000056,BEAUTY SECRETS (BLACK SOAP + SHEA BUTTER) BAR SOAP 142G,"Properties: Deep cleanses and moisturizes skin. Great for alleviating acne prone and blemished skin. ... Enriched with natural, skin softening Shea Butter naturally rich in Vitamin A and leaving your skin radiant.",4,GHC8.00,
GH-000057,BEAUTY SECRETS (SHEA BUTTER) CREAM 200ML,"100% natural, unrefined and premium shea butter from Ghana. Offers rich shea moisture from the crown of your hair to the sole of your feet. Naturally rich in vitamin A and E, Beauty Secrets shea butter helps reduce the appearance of fine lines and scars and improves the elasticity of the skin.",1,GHC17.00,12-2022
GH-000058,BEAUTY SECRETS (COCOA BUTTER) CREAM 200ML,"Cocoa butter hydrates and nourishes skin and hair while delivering the distinct scent of premium cocoa butter. ... Cocoa butter is known for its properties of the improvement of stretch marks, scars, skin tone, and elasticity of skin. Works super well as an over-night foot softener.",2,GHC17.00,12-2022
GH-000060,PARIDOX (BLACK SOAP + SHEA BUTTER + MORINGA) 500G ,"Paridox Alata Samina is made from the choicest of dried cocoa pods, coconut oil and shea butter. ... Coconut oil ensures the strengthening of your hair due to its low molecular weight which easily gets to the base of the hair shaft to support its growth.",1,GHC15.00,1-2023
GH-000061,PARIDOX (LEMON) BLACK BAR SOAP 150G,"It's made from the choicest of cocoa pods, coconut oils, shea butter and palm kernel oil. Use this product to stimulate your skin's renewal process to give it a youthful look. Effective as conditioning shampoo for natural hair, dreadlocks and refreshed bathing. Effective against pimples and acne. (in this case apply on your face 10 minutes each time before you bath). Clears the skin of any rashes. etc.",8,GHC8.00,10-2022
GH-000062,QUEEN ELIZABETH (COCOA BUTTER) LOTION 400ML,"A blend of natural cocoa butter and pure lanolin in anon greasy moisturizing base. Helps protect skin from the sun; excellent for skin overexposed to sun or wind. Helps restore and control essential moisture balance, and prevent dry skin wrinkles, lines and ""crow's feet"". Soothes and softens  dry irritated  chapped or sun-burned skin. Also helps relieve stretched skin during and after pregnancy.",1,GHC15.00,9-2023
GH-000063,JOHNSON BABY POWDER 500G,"It keeps skin comfortable, dry & feeling soft. With a clean, classic scent, this baby powder formula glides over your baby’s skin and leaves it feeling delicately soft and dry while providing soothing and healthy comfort.",1,GHC32.00,
GH-000064,JOHNSON BABY LOTION 500ML,"Johnson's baby moisturizing lotion with coconut oil hydrates and nourishes your little one's skin and provides a full 24 hours of dry skin relief.
The improved formula of this nourishing baby body lotion is 100% gentle and free of dyes, parabens, phthalates and harsh fragrances making it great for baby's delicate skin.
baby lotion is specifically designed for baby's unique and delicate skin and is both hypoallergenic and pediatrician-tested for gentle moisturizing.",1,GHC32.00,
GH-000070,MAYBELLINE (SMOKY TAUPE) NUDE LIPSTICK,Ink your lips in up to 16 hours of saturated matte with Maybelline New York's Super Stay Matte Ink™ Liquid Lipstick! ... The formula is long-lasting and gives a flawless matte finish in 40 super-saturated shades ranging from classic red liquid lipstick to nude and bold bright lipstick shades.,1,GHC49.00,
GH-000071,MAYBELLINE (VIVID ROSE) LIPSTICK,"Hypercolor Pigments And An Opaque, Creamy Clay Base Deliver One-Stroke Intensity. Sumptuous Honey Nectar Leaves A Creamy Finish. Maybelline’S Color Sensational The Loaded Bolds Is Available In A Range Of Pigment-Loaded Shades From Deep Plums And Electric Blues To Vibrant Reds And Natural Nudes. Dermatologist Tested. Allergy tested",1,GHC45.00,
GH-000072,MAYBELLINE (FIERY FUCHSIA) LIPSTICK,"Hypercolor Pigments And An Opaque, Creamy Clay Base Deliver One-Stroke Intensity. Sumptuous Honey Nectar Leaves A Creamy Finish. Maybelline’S Color Sensational The Loaded Bolds Is Available In A Range Of Pigment-Loaded Shades From Deep Plums And Electric Blues To Vibrant Reds And Natural Nudes. Dermatologist Tested. Allergy tested",1,GHC45.00,
GH-000073,DIPROSONE LOTION 30ML,"Diprosone Lotion is indicated for eczema and dermatitis of all types affecting the scalp including atopic eczema, photodermatitis, primary irritant and allergic dermatitis, lichen planus, lichen simplex, discoid lupus erythematosus, erythroderma. It is also indicated for psoriasis of the scalp.",2,GHC6.00,10-2022
GH-000074,COLOUR ME (PINK ) SPRAY 50ML,"LUXURY FRAGRANCE - Since 1975, Milton-Lloyd have earned an unshakeable reputation for award-winning, luxury fragrances without the luxury price tag. ELEGANT, RICH AND FRUITY - Fresh, top notes of bergamot and watermelon are boosted by floral mid notes of jasmine rose and violet, with base notes of oakmoss, amber and precious patchouli. LONG LASTING - Colour Me Purple contains luxury oils, blended at high concentrations to promise outstanding quality and long-lasting performance. THE COLOUR ME COLLECTION - A trending collection of luxury fragrances and aftershaves by Milton-Lloyd. GENUINE MILTON-LLOYD PRODUCT - Milton-Lloyd works with the world's leading perfumers, using the finest oils, blended at high concentrations to create sophisticated, long lasting, luxury fragrances.
",1,GHC22.00,09-2024
GH-000075,QUEEN ELIZABETH CREAM B/S  500ML,"A blend of natural cocoa butter and pure lanolin in anon greasy moisturizing base. Helps protect skin from the sun; excellent for skin overexposed to sun or wind. Helps restore and control essential moisture balance, and prevent dry skin wrinkles, lines and ""crow's feet"". Soothes and softens  dry irritated  chapped or sun-burned skin. Also helps relieve stretched skin during and after pregnancy.",4,GHC19.00,10-2023
GH-000076,QUEEN ELIZABETH CREAM M/S 250ML,"A blend of natural cocoa butter and pure lanolin in anon greasy moisturizing base. Helps protect skin from the sun; excellent for skin overexposed to sun or wind. Helps restore and control essential moisture balance, and prevent dry skin wrinkles, lines and ""crow's feet"". Soothes and softens  dry irritated  chapped or sun-burned skin. Also helps relieve stretched skin during and after pregnancy.",4,GHC15.00,01-2024
GH-000086,FINEFINE OINTMENT,"Helps with skin rashes, itchness, odor, pimples, razor pumps, gives a clearer skin without bleaching.it's good for foot rot,waist pains,body pain,headache and rheumatism.",3,GHC5.00,NA
GH-000089,HILADY WASH 50ML,"Hi lady virgin intimate wash is a purely natural herbal formular. It is featured by no side effect. *Keep natural balance and prevent dryness. You can get it from all herbal, pharmacy and cosmetic shops.",4,GHC18.00,05-2022
GH-000092,JOHNSON BABY OIL 200ML,"Our Johnson's baby oil locks in up to 10 times more moisture *on wet skin than an ordinary lotion can on dry skin, leaving your baby's skin soft and smooth. It is clinically proven to help prevent excess moisture loss. This gentle baby mineral oil is easy to spread, so it's great for baby massage.",2,GHC16.00,NA
GH-000094,KAMACLOX MOUTHWASH 300ML,"Kamaclox is a germicidal mouthwash that reduces bacteria in the mouth. Kamaclox is used to treat gingivitis (swelling, redness, bleeding gums).",6,GHC9.50,05-2022
GH-000099,UVA TUMERIC BAR SOAP 125G,Turmeric is a known antiseptic an skin vitalizer. Holy Basil adds anti-ageing advantage. Use UVA Turmeric soap on your face and body for healthy and radiant skin.,12,GHC9.00,02-2024
GH-000100,UVA BLACK BAR SOAP 125G,"It is rich in many essential fatty acids, vitamins and minerals. Now discover its wonders in black seed enriched Uva Vasu Black Seed soap for effective nourishment & protection of skin by preventing inflammation and scar formation. Get your skin toned and softened naturally with Black Seed Soap.",12,GHC9.00,02-2024
GH-000102,CAROTONE LOTION S/S 215ml,"Rejuvenates dull and damaged skin. It gives you beautiful, much brighter and more luminous skin. It contains pure carrot oil, works gently and effectively to unify and clarify the skin",1,GHC12.00,NA
GH-000103,FRUISIER SHOWER GEL UV WHITE GOAT'S MILK 1000ML,"Cleanses, whitens and prromotes an even skin tone every time you shower, leaving skin soft, smooth and protected daily.
Fruiser Shower Cream . Goat's Milk with UV Whitening helps support a brighter complexion and skin tone as it provides UV protection.
Formulated with the goodness of Goat's Milk for smooth, fair and radiant skin.
Goat's Milk helps soothe and moisturise skin.",1,GHC33.00,10-2022
GH-000114,PARADISE POWDER 200G,"Targets dark spots, age spots, uneven skin tone; Balances uneven skin tone and discoloration
Helps improve skin suppleness and elasticity",1,GHC9.00,06-2022
GH-000117,SIVODERM CREAM 80G,"Sivoderm Beauty Lotion protects the skin against daily aggressions. skin from black heads, acne spots beautifying it. Fights against Acne, Blackheads, Blotches, Eczema, Irritation, Itching.",4,GHC7.00,05-2022
GH-000118,SIVODERM POWDER 70G,"SIVODERM Care Talc refreshes your skin and helps you fight acne, blackheads, eczema, blisters, scabs, fungus, itchy skin and foot. Clean the targeted area with SIVODERM® antimicrobial soap and lukewarm water. Pour liberally the talc onto the targeted area and massage gently. Do not use onto under 6-year-children.",2,GHC7.00,NA
GH-000349,ECO STYLING GEL 236ml ARGAN OIL,"Olive oil helps your scalp naturally regulate its own moisturizing system. It helps attract moisture to the scalp and holds it in. It is weightless and will leave your hair with a healthy shine and superior hold. This Eco styling gel is simply incredible. It has no flakes, no tack and is anti itch as well. All the bases were covered with this. It is also alcohol free and contains UV protection too.",1,GHC19.00,NA
GH-000120,ECO STYLING GEL 236ml OLIVE OIL,"Olive oil helps your scalp naturally regulate its own moisturizing system. 
It helps attract moisture to the scalp  and holds it in.
It is weightless and will leave your hair with a healthy shine and superior hold. 
This Eco styling gel is simply incredible. It has no flakes, no tack and is anti itch as well.
All the bases were covered with this. It is also alcohol free and contains UV protection too. 
",1,GHC19.00,NA
GH-000121,BEBE MAMA B/S 275ML,"Specially studied to keep beautiful hair and avoid skin dryness, pomade BEBE & MAMA, enriched with nutritive elements, is recommended for baby's sensitive skin against all irritations. In daily use, it gives a smooth and beautiful shiny hair",1,GHC15.00,09-2022
GH-000122,BEBE MAMA S/S 125ML,"Specially studied to keep beautiful hair and avoid skin dryness, pomade BEBE & MAMA, enriched with nutritive elements, is recommended for baby's sensitive skin against all irritations. In daily use, it gives a smooth and beautiful shiny hair",1,GHC11.00,09-2023
GH-000124,PASSION POWDER-200g,Passion talcum powder remains the No.1 powder brand in Nigeria today. It is used by consumers with various skin types and is suitable for any kind of weather. ,1,GHC15.00,06-2022
GH-000126,MY DEAR  BODY MIST 75ML PERFUME (SUMMER FRESHES),"Handy, Long Lasting Fragrance, Leak Proof, Unique package, ",1,GHC18.00,NA
GH-000129,RICH & PURE BODY LOTION 250ML,"Rich and Pure Clarifying lotion nourishes, moisturizes and revitalizes skin. It provides a radiant tone without irritating it.",1,GHC22.00,11-2022
GH-000136,PERFECT GOLD DAY CREME 60g,"A nurturing day cream that rehydrates, re-cushions and re-activates skin
Unveils firmer, smoother, plumper, more comfortable & younger looking skin
Apply mornings daily to cleansed face and neck, avoiding the eye contour area
Apply with circular motions to allow better absorption",1,GHC38.00,09-2024
GH-000137,PERFECT GOLD NIGHT CREME 60G,"L'Oréal Paris Age Perfect Golden Age Night Cream is concentrated in Neo-Calcium, which encourages the repair of the skin's barrier whilst you sleep. The morning after, skin is visibly fresh, rested and perfectly hydrated. Night after night, the skin gradually regains density and facial contours are visibly re-defined.",1,GHC38.00,09-2024
GH-000138,UB HAIR RELAXER 450ML,"Universal Basic Relaxer is permanent Cream relaxer that help to relax hair efficiently. It works perfectly well on hair and help to achieve a relax hair with ease. It is enriched with argan oil to nourish your hair and keep it healthy. After using this products, your hair is bouncy, soft and very easy to manipulate.",2,GHC14.00,12-2023
GH-000140,OPTIMAL RELAXER M/S 300ML,Optimal relaxer contains a conditioning system with active fruits concentrate and shea butter. Optimal gives you ultra soft silky hair. ,2,GHC18.00,02-2024
GH-000141,7 17 KID RELAXER 233ML,"Soft for children, teenage girls and adult hair. Dazzling by its cream made with the richest ingredients: vitamins and keratin, gently softens and relaxes crispy and curly.",1,GHC11.00,09-2023
GH-000145,WOKALI PAPAYA LOTION,whitening and nourishing lightweight lotion made from papaya extracts,1,GHC39.00,08-2024
GH-000146,WOKALI PAPAYA CREAM 240G,"smoothing, whitening and nourishing body butter made from carefully handpicked fruit petals",1,GHC39.00,07-2024
GH-000147,KARIS BODY & FACE SCRUB 300ML APRICOT GENTLE MOSTURIZING ,"GIves soft exfoliation to remove dirt and other impurities for fresh clear skin with an illuminating glow. Makes skin supple, shiny smooth and bursting with radiance.",1,GHC18.00,06-2022
GH-000148,KARIS BODY & FACE SCRUB 300ML GREEN TEA ANTI-AGEING,"Gives soft exfoliation to remove dirt and other impurities for fresh clear skin with an illuminating glow. Makes skin supple, shiny smooth and bursting with radiance.",1,GHC18.00,06-2022
GH-000149,KARIS BODY & FACE SCRUB 300ML GOLD PERFECT GLOW,"Gives soft exfoliation to remove dirt and other impurities for fresh clear skin with an illuminating glow. Makes skin supple, shiny smooth and bursting with radiance.",2,GHC18.00,06-2022
GH-000149,NIVEA DEO SPRAY DRY IMPACT  150ML,"NIVEA Deodorant “Dry Comfort Plus” – gives you extra anti-perspirant performance for a dry feeling and caring 48h protection against sweat and body odour. ... This unique “DryPlus system” gives you reliable, 48h protection against sweat and body odour.",1,GHC17.00,06-2022
GH-000150,POWER HOUSE ROLL ON  50ML CHROME INTENSE,"Power House offers maximum protection you can rely on, all day long. Our antiperspirants and deodorants are developed to meet different demands for men and women, responding to your body to keep you feeling confident and cool for up to 24 hours.",1,GHC7.00,9-2023
GH-000151,POWER HOUSE ROLL ON 50ML TITANIUM DRY,"Power House offers maximum protection you can rely on, all day long. Our antiperspirants and deodorants are developed to meet different demands for men and women, responding to your body to keep you feeling confident and cool for up to 24 hours.",1,GHC7.00,10-2023
GH-000152,POWER HOUSE ROLL ON 50ML RUBY CLASSIC,"Power House offers maximum protection you can rely on, all day long. Our antiperspirants and deodorants are developed to meet different demands for men and women, responding to your body to keep you feeling confident and cool for up to 24 hours.",2,GHC7.00,11-2023
GH-000156,EPIDERM CREAM B/S 30g,"Epiderm cream and lotion is a combination of betamethasone dipropionate, gentamicin, tolnaftate, and iodochlorhydroxyquinoline.
Healthcare professionals prescribe it to treat several skin conditions associated with inflammation and mixed bacterial and fungal infections. For example, eczema, seborrheic and contact dermatitis, psoriasis, ringworm, athlete’s foot, and skin itch.",3,GHC6.00,06-2022
GH-000163,DOVE BEAUTY CREAM BAR 100g,"While ordinary soaps can strip skin of essential moisture, Dove Beauty Bar has mild cleansers to effectively wash away dirt and germs and care beautifully. Made with our ¼ moisturizing cream, Dove Beauty Bar leaves your body, face and hands feeling soft, smooth, and radiant. You can see why we call it a Beauty Bar.",8,GHC8.00,NA
