ID,Item,Product Information,Current Stock,Selling Price,Expiry Date
GH-000165,WHITE SECRET LOTION 300ML,White secret contains ingredients proven to enlighter your skin and remove blackheads and spots. Also contains vitamin E that treats pigmented skin and tashes. Prevents reappearance of dark tashes. Adopted to all skin types.,3,GHC18.00,01-2025
GH-000173,F&W  EXCLUSIVE WHITENIZER CREAM 50ML,"FAIR & WHITE SO WHITE: It has been designed for today's modern young women wanting to pamper and rejuvenate their skin. ... delicately smoothes skins texture, enhancing skins radiance. CLARIFY & MOISTURIZE: Clarifying and moisturizing body lotion formulated to lighten dark areas of the body.",1,GHC30.00,04-2022
GH-000175,MAYBELLINE FOUNDATION SUPERSTAY TRUE CARAMEL,"Foundation makeup is a liquid or powder face cosmetic that helps create an even, flawless skin tone and either a dewy or matte texture. ... Fit Me Matte + Poreless Foundation happens to be the best foundation for oily skin too as its clay-infused formula with micro-powders controls shine and blurs pores.",1,GHC90.00,NA
GH-000176,TEA TREE OIL 30ML,"Tea tree oil is distilled from the leaves of the Melaleuca alternifolia plant, found in Australia. The oil possesses antibacterial, anti-inflammatory, antiviral, and antifungal properties. A person can treat acne, athlete's foot, contact dermatitis or head lice using tea tree oil.",4,GHC22.00,NA
GH-000178,TEA TREE FACE SCRUB 250ML,"Our Tea Tree Squeaky-Clean Scrub is a gentle daily facial exfoliator for blemished skin. Enriched with Community Trade Tea Tree Oil, the scrub gently buffs the skin's surface to remove impurities and dead skin cells. Skin is left feeling smoother, appearing clearer and shine-free.",9,GHC19.00,NA
GH-000179,GLADE AIR FRESHNER,"Glade Room Spray Air Fresheners eliminate odors and freshen the air, making your home uniquely inviting for all. Each is infused with essential oil extracts and comes in a variety of fragrances, ensuring yours will always be an open home.",2,GHC15.00,NA
GH-000181,LISTERINE TOTAL CARE 250ML,"Reduces plaque, maintains healthy gums, strengthens teeth against decay, prevents tartar to help keep teeth naturally white, kills up to 99.9% oral bacteria in lab tests and provides up to 24 hour breath protection",2,GHC25.00,NA
GH-000182,ST IVES SCRUB,"DEEP CLEAN WITH NATURAL EXFOLIANTS: This delicious face scrub is made with 100% natural walnut shell powder and apricot extracts to remove impurities for fresh, beautiful, glowing skin. ... Ives face scrubs are made with 100% natural exfoliants to even skin tone and leave skin clear, soft, and glowing.",3,GHC28.00,NA
GH-0000350,BEAUTY FORMULAS ARGAN OIL CLEANSING FACIAL WIPES (30 WIPES0,Helps cleanses your face by removing make up excess dirt and other impurities. Specially formulated with argan oil to help hydrate your skin helping you feel refreshed. Suitable for everyday use.,2,GHC15.00,NA
GH-000187,BEAUTY FORMULA ACTIVATED CHARCOAL FACIAL WIPES (25 WIPES),Helps remove build up oils and other impurities. Leaves you feeling clean and refreshed. 25 wipes,1,GHC15.00,NA
GH-000188,FEMFRESH WASH 250ML,This gentle daily wash has been specially formulated to cleanse intimate skin whilst helping maintain a healthy pH-balance. The low pH of the intimate area helps to protect against irritation and this can be upset by ordinary washes and shower gels.,4,GHC32.00,NA
GH-000189,FEMFRESH WASH 150ML,This gentle daily wash has been specially formulated to cleanse intimate skin whilst helping maintain a healthy pH-balance. The low pH of the intimate area helps to protect against irritation and this can be upset by ordinary washes and shower gels.,5,GHC19.00,NA
GH-000190,CHARCOAL MOUTHWASH,"Say hello to naturally friendly activated charcoal extra freshening mouthwash. Thoughtfully formulated with activated charcoal (made from sustainable bamboo), coconut oil to moisturize, tea tree oil to cleanse, fresh mint to freshen breath, and xylitol because it rocks.",3,GHC16.00,NA
GH-000194,IRISH SPRING BATH GEL 532ML,Picture yourself being hydrated by a raging waterfall... Irish Spring Moisture Blast body wash is kinda like that. Only fresher.,1,GHC29.50,NA
GH-000195,NIVEA MEN SHOWER GEL 500ML SENSITIVE,For men who want the ultimate energising skin care experience. The energising formula with masculine scent gives your skin a long-lasting fresh feeling. Leaves skin and hair feeling its best. Avoid contact with eye area.,1,GHC25.00,NA
GH-000196,CAREX SHOWER GEL 500ML SENSITIVE,"Cleans, cares and protects you and your family's skin, helping to leave it feeling soft, smooth and conditioned. Miantains the natutral pH balance of the skin. Light refreshing fragrance.",2,GHC16.00,NA
GH-000197,CAREX SHOWER GEL 500 ML ORIGINAL,"Cleans, cares and protects you and your family's skin, helping to leave it feeling soft, smooth and conditioned. Miantains the natutral pH balance of the skin. Light refreshing fragrance.",1,GHC16.00,NA
GH-000202,GOT 2B GLUED YELLOW 50ML,This water resistant spiking glue delivers hold so strong your style will last until your next shampoo. Push through hair to put it in place. Nothing is moving here!,2,GHC35.00,NA
GH-000208,SEBAMED CLEANSING BAR (BABY) 100G,"The Sebamed Baby Cleansing Bar provides 100% soap-free, mild cleansing of baby's delicate skin, making it smooth and soft and minimizing the risk of dryness and irritation. It increases the ability of baby skin to resist environmental stressors. As with the rest of our baby skin care products, our Baby Cleansing Bar supports the development of the acid mantle. This product is free of formaldehyde, nitrosamines, dioxan, and color additives and is arguably one of the most favored and best baby washes for newborns.",1,GHC29.00,09-2022
GH-000212,100%ACTIVATED CHARCOAL  NATURAL TEETH WHITENING 30G,"Teeth powder using natural organic ingredients without adding preservatives,while brighten and whiten teeth, it can also absorb oral odor and fresh breath.",1,GHC19.00,NA
GH-000224,CLERE COCOA BUTTER LOTION 400ML,"For generations, Clere has been trusted to leave skin soft, smooth and beautiful. Enriched with Glycerine and Vitamins E & A, Clere will help keep your skin moisturised and younger looking. You can trust Clere to care for your and your family's skin.",2,GHC16.00,09-2022
GH-000228,SPORTIN WAVES 99.2g,"Restores moisture, goes on light and easy, and rinse out clean. They are formulated for shorter hairstyles and wavy hair. WAVEMAKING: Sportin' Waves is the perfect men styling product for short and brushable hair. For maximum wavemaking formula that doesn't weight hair down.",1,GHC24.00,NA
GH-000229,STYLE UP HAIR CREAM 80ML,"Style Up Hair Pomade sculpt and holds the coolest styles allowing for remarkable shape, texture and control. Ideal for straight or curly hair to enhance its natural features.
Direction of use: Heat up in hands and control your style either wet or dry.",1,GHC10.00,NA
GH-000230,SULFUR-8 PLUS HAIR POMADE 90G,"Sulfur 8 Treatment (old Medicated) H/S conditioner moisturizes and softens dry hair and scalp an beautfiles the hair. Makes hair more manageable and adds sheen. Ideal for natural, pressed and relaxed hair. For the relief of dandruff and dry, itching and faking scalp associated with dandruff.",2,GHC8.00,NA
GH-000231,BELLA LOTION B/S 1L,"Soothes and softens hans, face and body. A blend of natural cocoa butter and pure lanolin in a non greasy moisturizing base helps and protects skin from  the sun and prevents dry and wrinkles.",2,GHC19.00,01-2024
GH-000232,BELLA LOTION S/S 300ml,"Soothes and softens hans, face and body. A blend of natural cocoa butter and pure lanolin in a non greasy moisturizing base helps and protects skin from  the sun and prevents dry and wrinkles.",1,GHC8.00,11-2023
GH-000233,SO WHITE BRIGHTENING  LOTION BODY MILK,"Luxurious clarifying and moisturizing body lotion formulated to lighten dark spots and even out skin tone. Skin Perfecting Lotion promotes skin rejuvenation with potent skin brightening complex, restoring beautiful luminous, silky, soft skin. APPLICATION : Apply to uneven skin tone twice a day on cleansed, dry skin.",1,GHC84.00,07-2022
GH-000235,MAGIC SHAVING  CREAM EXTRA STRENGTH 170G,"Razorless Shaving Cream for Men, No razor needed Hair Removal depilatory Cream that works in 4 Minutes formulated for Black Men. Choose our cream or powder formula to discover a new razorless grooming ritual at home for your beard, face and bald look.",1,GHC27.00,NA
GH-0000352,MAGIC SHAVING POWDER REGULAR STRENGTH 142G,"Shaving powder to cream treatment is a depilatory powder for Black Men to give extra strength towards bump-free and smooth skin. It has rich extracts of Aloe, Vitamin E, and Shea & Cocoa Butter to enhance ultimate comfort and long-lasting effect.",1,GHC27.00,NA
GH-000236,MAGIC SHAVING  REGULAR STRENGTH POWDER 142G,"Razorless Shaving Formulated for Black Men, Shaving depilatory Powder For Coarse Textured hair that works in 4 minutes and helps stop razor burns. Choose our cream or powder formula to discover a new razorless grooming ritual at home for your beard, face and bald look",1,GHC27.00,NA
GH-000239,NEO-VATE 30G CREAM,"Neo-Vate White Cream is used for Inflammation, Pruritus and other conditions. ... Neo-Vate White Cream contains Clobetasol Propionate Topical as an active ingredient. Neo-Vate White Cream works by producing a high degree of glucocorticoid and low degree of mineralocorticoid activity.",2,GHC7.00,07-2023
GH-000241,MOVATE 30G CREAM,"Movate is a Body Cream that produces effective result; It is quick in action to softens, lightens and brightens the skin complexion. Leaving the skin smooth and loving young.",2,GHC7.00,06-2022
GH-000242,LEMONVATE 30G CREAM,"Hydrates while restoring an even skin tone with potent skin brightening properties of Arbutin Complex and protects against environmental pollutants. Exfoliates and softens skin with non-irritating Lactic Acid, revealing a luminous glow. Lemonvate Brightening Cream is formulated in a light creamy texture with firming Vitamin “C” and safe brightening properties of Arbutin Complex to lightly hydrate as it minimizes dark brown spots. Promotes a luminous glow resulting in soft, smooth and even toned skin.",3,GHC7.00,07-2022
GH-000243,PRINCESS COCOA PAA M/S 260ML,"Hand and body moisturizing cream with cocoa butter and lanolin. A specially formulated cream that brings lasting relief to dry and rough skin. It helps protect your skin from the damaging effects of the sun and wind. It is also recommended for stretch marks during and after pregnancy. Everyone can use Princess, to moisturize and smooth the skin on the hands, arms, elbows and legs.",2,GHC10.00,07-2022
GH-000244,PRINCESS COCOA PAA S/S 150G,"Hand and body moisturizing cream with cocoa butter and lanolin. A specially formulated cream that brings lasting relief to dry and rough skin. It helps protect your skin from the damaging effects of the sun and wind. It is also recommended for stretch marks during and after pregnancy. Everyone can use Princess, to moisturize and smooth the skin on the hands, arms, elbows and legs.",2,GHC6.00,11-2022
GH-000254,HOLLYWOOD HERBAL NEEM FACE WASH 150G,"Neem has naturally strong astringent and antiseptic properties and works as an intense detoxifying cleanser that will remove oils while leaving skin feeling cool, refreshed and with a matt look. The emollients in the formula will calm, soothe and moisturize.",2,GHC28.00,NA
GH-000255,CLAIRMAN SHOWER GEL,"Suitable for all skin types, the shower gel CLAIRMEN MAMA AFRICA gently cleans, exfoliates and softens. The microspheres embedded gently remove dead cells from the skin, keeping it nourished and hydrated, leaving it silky and giving it a feeling of freshness and sweetness for the whole day.",3,GHC20.00,NA
GH-000257,PERFECT WHITE SHOWER GEL - 1000 ML,"Deeply cleanses the skin and eliminates impurities.
Exfoliates dead cells and reveals a glowing complexion.
Prepares the skin for your skincare routine.
The skin is soft, supple and radiant",1,GHC20.00,NA
GH-0000353,BODY FASHION SHOWER GEL WHITENING AND EXFOLIATING 750ML,"A dirt fighter, an antioxidant and skin lightening,This shower gel smooths your skin, removes dead skin cells & improves your overall complexion, The special formula contains a tried and tested lightening agents Niacinamide & Vitamin C, which are known for their unique ability to draw out toxins and purify,  Hygienic, Moisturising, Prevents odour, Long lasting fragrance.",1,GHC26.00,10-2022
GH-000258,BODY FASHION SHOWER GEL EXTRA SOFT 750ML,"Cleanses and refreshes your skin, leaving it feeling softer, silkier and invigorated.Extra Soft Gel is sulphate-free and soap-free for cleaning sensitive skin and delicate hair of babies and adults with infinite softness. Enriched with almond blossom extract with softening and moisturizing properties, it reduces the risk of drying the skin and leaves it soft, hydrated and delicately fragrant. ",1,GHC26.00,09-2022
GH-000261,BO 16 1000g, BO-16 Hair relaxer is an all-natural conditioner that moisturizes and strenghthen hair that is gentle to your skin and scalp during the hair treatment relaxing process and add more value to the hair completely and makes it more smooth and beautiful.,2,GHC27.00,10-2022
GH-000264,STAY YOUNG B/S 200g,"Stay young face and body cream is a fast action lightening cream from Ghana. Formulated for woman of color with all natural ingredients. It gives immediate results.
Perfect for difficult skin to lighen skin. This cream can be use by itself or added to your lotion or cream to boost their effectiveness. Visible results in few days.
Key benefits:
Clears hyperpigmentation, acne, black spots. Excellent toning cream, clears black heads and skin blemishes, work on dark patches.
Pro-tip it is advisable to use this cream at night if you are using it by itself and use 2 or 3 times a week by itself because is a very strong cream.",3,GHC28.00,11-2022
GH-000265,AVEENO LOTION B/S 532ml,"Helps prevent and temporarily protects chafed, chapped or cracked skin. Helps prevent and protect from the drying effects of wind and cold weather",1,GHC80.00,
GH-000273,CHINA GREEN DIETERS TEA 18'S 36g,"Herbal. No Caffeine. 100% Natural. During the summer months products may arrive warm but Amazon stores and ships products in accordance with manufacturers' recommendations, when provided.",2,GHC39.00,05-2023
GH-000288,NIVEA DEO SPRAY WOMEN DRY CONFIDENCE 250ML,"NIVEA Deodorant “Dry Comfort Plus” – gives you extra anti-perspirant performance for a dry feeling and caring 48h protection against sweat and body odour. ... This unique “DryPlus system” gives you reliable, 48h protection against sweat and body odour.",2,GHC26.00,08-2022
GH-000289,PRETTY COTTON BALLS 50G,Made from the highest quality. 100 Percent cotton. Contains approximately 100 cotton balls. Gentle enough for delicate skin. For cleaning minor cuts and grazes,10,GHC10.00,NA
GH-000290,JENNIFERS FACE WASH 100ML HERBAL,Contains a moisturizing skin repair formula containing Pro Vitamin B5 Suitable for all skin types Ideal for day-to-day-use,1,GHC9.00,NA
GH-000291,JENNIFERS FACE WASH 100ML SENSITIVE,Contains a moisturizing skin repair formula containing Pro Vitamin B5 Suitable for all skin types Ideal for day-to-day-use,1,GHC9.00,NA
GH-000290,JENNIFERS FACE WASH 100ML MIXED BERRIES,"Contains a moisturizing skin repair formula containing Pro Vitamin B5
Suitable for all skin types
Ideal for day-to-day-use",1,GHC9.00,NA
GH-000299,SURE ANTIBACTERIAL FEMININE DEO SPRAY 250ML,"Protecting you for up to 48 hours from sweat and body odour, this antiperspirant deodorant spray keeps you comfortable as you move. Feel dry and clean with a scent inspired by fresh cotton sheets. MotionSense™ technology helps keep you feeling fresh so you can push past the finish line.",1,GHC26.00,NA
GH-000303,EVERSHEEN LOTION S/S 250ML,Lotion helps relieve streched skin during and after pregnancy. Helps prevent stretch marks. Soothes and softens dry irritated chapped or sun-burned skin.,3,GHC9.00,
GH-000306,RAZAC LOTION B/S 474ML,Razac's hand & body lotion acts as a moisturizer and protectant against weather sensitive skin. It's non-greasy formula soothes and softens the skin intsantly. Apply Razac's hand and body lotion to dry skin and massage thoroughly.,2,GHC24.00,NA
GH-000307,AVEENO LOTION L/S,"Formulated with Colloidal Oatmeal and rich emollients, it helps prevent and protect dry skin for a full 24 hours. This lotion leaves your skin feeling soft, smooth and naturally healthy looking and is gentle enough for everyday use. It's also fragrance free, nongreasy and noncomedogenic.",1,GHC59.00,
GH-000308,AVENO LOTION TUBE S/S,"Formulated with Colloidal Oatmeal and rich emollients, it helps prevent and protect dry skin for a full 24 hours. This lotion leaves your skin feeling soft, smooth and naturally healthy looking and is gentle enough for everyday use. It's also fragrance free, nongreasy and noncomedogenic.",1,GHC29.00,
GH-000310,BEAUTY SECRET BLACK SOAP WITH SHEA BUTTER 350G CONTAINER,"Our pleasant lemon scented black soap shower gel, gently cleanses, exfoliates, and moisturizes your skin and hair, leaving that real clean, fresh feel after use. This convenient usage gel bursts out bubbles of pure goodness is recommended for the improvement of skin tone, scars, acne, psoriasis, and elasticity of skin.",2,18,07-2022
GH-000313,JOHNSON BABY OIL 200ML,"Our Johnson's baby oil locks in up to 10 times more moisture *on wet skin than an ordinary lotion can on dry skin, leaving your baby's skin soft and smooth. It is clinically proven to help prevent excess moisture loss. This gentle baby mineral oil is easy to spread, so it's great for baby massage.",2,17,NA
GH-000316,CARO WHITE LOTION- 300ML,"Evens out skin tone and makes it firmer giving a more radiant complexion
Fights against a dull complexion and diminishes the visible appearance of pigment spots
Hydrates and protects the epidermis
the skin is soft, supple and radiant.",4,15,04-2022
GH-000318,UNIQUE SHADE PURE BLACK CASTOR OIL 120ML,"Unique Shade Black Castor Oil strengthens, thickens and repairs damaged hair. Rejuvenates dry skin instantly, because it's rich in Vitamins E and K and iron",1,28,09-2023
GH-000319,UNIQUE MAN PLUS 60ML,"Unique Man Plus is a herbal Oil that treat's baldness in both men and women. Our other range are Liquid and Solid Alata Samina(Black Soap),Castor Oil ,Virgin Coconut Oil, Almond/A…",2,55,09-2022
GH-000324,HOLLYWOOD NEEM FACE WASH 150ml,"Neem has naturally strong astringent and antiseptic properties and works as an intense detoxifying cleanser that will remove oils while leaving skin feeling cool, refreshed and with a matt look. The emollients in the formula will calm, soothe and moisturize.",2,28,NA
GH-000329,UNIQUE FOODS SESAME SEEDS,"has benefits in balancing of hormones, improving blood pressure, increasing breastmilk supply and helping in management of diabetes",1,17,04-2023
GH-000330,UNIQUE FOODS FLAX SEEDS,"helps with prostate health, hot flushes, rich in zinc",1,15,02-2023
GH-000332,UNIQUE FOODS CEYLON CINNAMON POWDER,"helps manage blood sugar, aids in weight loss and cognitive development",1,17,02-2023
GH-000333,UNIQUE FOODS BROWN RICE,organic brown rice ,1,30,04-2023
GH-000334,VEVO CLARIFYING MILK 450ML,"Effective on fine lines and wrinkles caused by aging of the skin.
It has an express nutritive effect and natural allantoene peeling which allows to generate and effectively plump the epidermis.",3,26,07-2023
GH-000341,PARIDOX (ALOE VERA) BLACK BAR SOAP 150G,"It's made from the choicest of cocoa pods, coconut oils, shea butter and palm kernel oil. Use this product to stimulate your skin's renewal process to give it a youthful look. Effective as conditioning shampoo for natural hair, dreadlocks and refreshed bathing. Effective against pimples and acne. (in this case apply on your face 10 minutes each time before you bath). Clears the skin of any rashes. etc.",9,8,10-2022
GH-000342,COLOUR ME (RED) SPRAY 50ML,"LUXURY FRAGRANCE - Since 1975, Milton-Lloyd have earned an unshakeable reputation for award-winning, luxury fragrances without the luxury price tag. ELEGANT, RICH AND FRUITY - Fresh, top notes of bergamot and watermelon are boosted by floral mid notes of jasmine rose and violet, with base notes of oakmoss, amber and precious patchouli. LONG LASTING - Colour Me Purple contains luxury oils, blended at high concentrations to promise outstanding quality and long-lasting performance. THE COLOUR ME COLLECTION - A trending collection of luxury fragrances and aftershaves by Milton-Lloyd. GENUINE MILTON-LLOYD PRODUCT - Milton-Lloyd works with the world's leading perfumers, using the finest oils, blended at high concentrations to create sophisticated, long lasting, luxury fragrances.
",1,22,7-2024
GH-000343,COLOUR ME (GOLD) SPRAY 50ML,"LUXURY FRAGRANCE - Since 1975, Milton-Lloyd have earned an unshakeable reputation for award-winning, luxury fragrances without the luxury price tag. ELEGANT, RICH AND FRUITY - Fresh, top notes of bergamot and watermelon are boosted by floral mid notes of jasmine rose and violet, with base notes of oakmoss, amber and precious patchouli. LONG LASTING - Colour Me Purple contains luxury oils, blended at high concentrations to promise outstanding quality and long-lasting performance. THE COLOUR ME COLLECTION - A trending collection of luxury fragrances and aftershaves by Milton-Lloyd. GENUINE MILTON-LLOYD PRODUCT - Milton-Lloyd works with the world's leading perfumers, using the finest oils, blended at high concentrations to create sophisticated, long lasting, luxury fragrances.
",1,22,10-2024
GH-000344,COLOUR ME (PURPLE) SPRAY 50ML,"LUXURY FRAGRANCE - Since 1975, Milton-Lloyd have earned an unshakeable reputation for award-winning, luxury fragrances without the luxury price tag. ELEGANT, RICH AND FRUITY - Fresh, top notes of bergamot and watermelon are boosted by floral mid notes of jasmine rose and violet, with base notes of oakmoss, amber and precious patchouli. LONG LASTING - Colour Me Purple contains luxury oils, blended at high concentrations to promise outstanding quality and long-lasting performance. THE COLOUR ME COLLECTION - A trending collection of luxury fragrances and aftershaves by Milton-Lloyd. GENUINE MILTON-LLOYD PRODUCT - Milton-Lloyd works with the world's leading perfumers, using the finest oils, blended at high concentrations to create sophisticated, long lasting, luxury fragrances.
",1,22,10-2024
GH-000345,COLOUR ME (SILVER) SPRAY 50ML,"LUXURY FRAGRANCE - Since 1975, Milton-Lloyd have earned an unshakeable reputation for award-winning, luxury fragrances without the luxury price tag. ELEGANT, RICH AND FRUITY - Fresh, top notes of bergamot and watermelon are boosted by floral mid notes of jasmine rose and violet, with base notes of oakmoss, amber and precious patchouli. LONG LASTING - Colour Me Purple contains luxury oils, blended at high concentrations to promise outstanding quality and long-lasting performance. THE COLOUR ME COLLECTION - A trending collection of luxury fragrances and aftershaves by Milton-Lloyd. GENUINE MILTON-LLOYD PRODUCT - Milton-Lloyd works with the world's leading perfumers, using the finest oils, blended at high concentrations to create sophisticated, long lasting, luxury fragrances.
",1,22,5-2024
GH-000346,COLOUR ME (FEMME GOLD) SPRAY 50ML,"LUXURY FRAGRANCE - Since 1975, Milton-Lloyd have earned an unshakeable reputation for award-winning, luxury fragrances without the luxury price tag. ELEGANT, RICH AND FRUITY - Fresh, top notes of bergamot and watermelon are boosted by floral mid notes of jasmine rose and violet, with base notes of oakmoss, amber and precious patchouli. LONG LASTING - Colour Me Purple contains luxury oils, blended at high concentrations to promise outstanding quality and long-lasting performance. THE COLOUR ME COLLECTION - A trending collection of luxury fragrances and aftershaves by Milton-Lloyd. GENUINE MILTON-LLOYD PRODUCT - Milton-Lloyd works with the world's leading perfumers, using the finest oils, blended at high concentrations to create sophisticated, long lasting, luxury fragrances.
",1,22,12-2024